PROMO_ID,MCC_GROUP,MERCHANT_CATEGORY,GENDER,RELIGION,PROMO_LOCATION,START_DATE,END_DATE,SEGMENTATION,TOTAL_ASSETS,ACCOUNT_AGE,TRANSACTION_TIME
PROMO_0000,SOLARIA,Gaya Hidup,Laki-laki,Islam,Palembang,05/03/24,10/08/24,All Segment,Group 3,Group 1,WEEKDAY - WORKING TIME
PROMO_0001,DAYTRANS,Kesehatan dan Kecantikan,Perempuan,Katolik,Makassar,13/03/24,11/08/24,Young Gen & Early Jobber,Group 5,Group 4,WEEKDAY - TRAVELING TIME
PROMO_0002,FORE,Gadget dan Elektronik,Laki-laki,Islam,Medan,04/03/24,21/08/24,Wealthy Achievers,Group 2,Group 3,WEEKDAY - RESTING TIME
PROMO_0003,ERAFONE,Travel dan Transportasi,Laki-laki,Katolik,Nasional,08/01/24,18/05/24,Wealthy Achievers,Group 5,Group 5,WEEKDAY - WORKING TIME
PROMO_0004,ALFAMART,Telco,Laki-laki,Katolik,Semarang,11/02/24,28/07/24,Young Gen & Early Jobber,Group 2,Group 4,WEEKDAY - RESTING TIME
PROMO_0005,INDOMARET,Makanan dan Minuman,Laki-laki,Agama Lainnya,Semarang,16/01/24,19/09/24,Young Gen & Early Jobber,Group 2,Group 5,WEEKDAY - TRAVELING TIME
PROMO_0006,GUARDIAN,Others/Miscellaneous (Promo lainnya),Perempuan,Buddha,Malang,31/01/24,02/07/24,Minimal,Group 3,Group 4,WEEKDAY - TRAVELING TIME
PROMO_0007,SOCIOLLA,Travel dan Transportasi,Laki-laki,Kristen,Malang,14/03/24,01/07/24,Mature High Networth,Group 2,Group 2,WEEKDAY - TRAVELING TIME
PROMO_0008,SHOPEE,Gadget dan Elektronik,Laki-laki,Kristen,Papua,29/03/24,29/06/24,Wealthy Achievers,Group 1,Group 4,WEEKDAY - TRAVELING TIME
PROMO_0009,SOCIOLLA,Kesehatan dan Kecantikan,Perempuan,Konghucu,Semarang,20/02/24,20/09/24,Mature High Networth,Group 4,Group 3,WEEKDAY - RESTING TIME
PROMO_0010,ALFAMART,Travel dan Transportasi,Laki-laki,Kristen,Padang,21/02/24,21/05/24,Minimal,Group 3,Group 4,WEEKDAY - WORKING TIME
PROMO_0011,TUKU,Gaya Hidup,Perempuan,Hindu,Balikpapan,15/03/24,27/08/24,All Segment,Group 4,Group 2,WEEKDAY - RESTING TIME
PROMO_0012,TUKU,Travel dan Transportasi,Laki-laki,Buddha,Makassar,02/01/24,05/07/24,All Segment,Group 1,Group 4,WEEKDAY - RESTING TIME
PROMO_0013,SHOPEE,Telco,Perempuan,Kristen,Semarang,07/02/24,27/07/24,Working Professionals,Group 2,Group 1,WEEKEND - WEEKEND
PROMO_0014,ALFAMART,Gadget dan Elektronik,Perempuan,Konghucu,Makassar,26/01/24,23/06/24,All Segment,Group 4,Group 1,WEEKDAY - TRAVELING TIME
PROMO_0015,SOCIOLLA,Telco,Laki-laki,Kristen,Bandung,19/03/24,25/06/24,Emerging Wealth,Group 3,Group 3,WEEKEND - WEEKEND
PROMO_0016,FORE,Others/Miscellaneous (Promo lainnya),Laki-laki,Katolik,Jakarta,10/01/24,22/06/24,Young Gen & Early Jobber,Group 3,Group 3,WEEKDAY - WORKING TIME
PROMO_0017,SOLARIA,Makanan dan Minuman,Laki-laki,Buddha,Manado,09/03/24,06/07/24,Young Gen & Early Jobber,Group 4,Group 3,WEEKDAY - TRAVELING TIME
PROMO_0018,INDOMARET,Makanan dan Minuman,Perempuan,Buddha,Surabaya,26/03/24,09/05/24,Silver Ager,Group 1,Group 3,WEEKEND - WEEKEND
PROMO_0019,DAYTRANS,Gaya Hidup,Perempuan,Islam,Padang,09/01/24,12/05/24,Wealthy Achievers,Group 3,Group 5,WEEKEND - WEEKEND
PROMO_0020,SOCIOLLA,E-Commerce,Laki-laki,Kristen,Medan,26/01/24,08/07/24,Young Gen & Early Jobber,Group 3,Group 4,WEEKDAY - RESTING TIME
PROMO_0021,IBOX,Telco,Perempuan,Hindu,Palembang,16/03/24,28/05/24,Silver Ager,Group 2,Group 4,WEEKDAY - TRAVELING TIME
PROMO_0022,TUKU,Kesehatan dan Kecantikan,Laki-laki,Agama Lainnya,Balikpapan,06/03/24,15/09/24,Emerging Wealth,Group 4,Group 3,WEEKDAY - RESTING TIME
PROMO_0023,DAYTRANS,Others/Miscellaneous (Promo lainnya),Laki-laki,Katolik,Medan,26/03/24,17/06/24,Young Gen & Early Jobber,Group 3,Group 3,WEEKDAY - TRAVELING TIME
PROMO_0024,TUKU,Gaya Hidup,Perempuan,Hindu,Nasional,26/02/24,25/10/24,Wealthy Achievers,Group 5,Group 5,WEEKDAY - WORKING TIME
PROMO_0025,IKEA,Others/Miscellaneous (Promo lainnya),Laki-laki,Islam,Bandung,05/01/24,24/06/24,Working Professionals,Group 3,Group 5,WEEKDAY - WORKING TIME
PROMO_0026,ERAFONE,Telco,Perempuan,Katolik,Malang,02/03/24,28/10/24,Minimal,Group 1,Group 4,WEEKEND - WEEKEND
PROMO_0027,DAYTRANS,E-Commerce,Perempuan,Katolik,Nasional,09/01/24,15/08/24,Working Professionals,Group 5,Group 1,WEEKDAY - WORKING TIME
PROMO_0028,SOLARIA,Telco,Laki-laki,Islam,Semarang,23/03/24,17/07/24,Working Professionals,Group 1,Group 5,WEEKDAY - RESTING TIME
PROMO_0029,TUKU,E-Commerce,Laki-laki,Buddha,Denpasar,31/01/24,19/10/24,Silver Ager,Group 3,Group 2,WEEKDAY - RESTING TIME
PROMO_0030,IKEA,Travel dan Transportasi,Perempuan,Kristen,Medan,17/01/24,13/08/24,Wealthy Achievers,Group 4,Group 5,WEEKDAY - RESTING TIME
PROMO_0031,ERAFONE,Kesehatan dan Kecantikan,Laki-laki,Katolik,Bandung,14/01/24,23/06/24,All Segment,Group 1,Group 4,WEEKDAY - TRAVELING TIME
PROMO_0032,FORE,Others/Miscellaneous (Promo lainnya),Laki-laki,Katolik,Nasional,16/01/24,11/07/24,Wealthy Achievers,Group 5,Group 5,WEEKDAY - TRAVELING TIME
PROMO_0033,SOLARIA,Kesehatan dan Kecantikan,Perempuan,Kristen,Malang,24/02/24,02/05/24,All Segment,Group 5,Group 5,WEEKDAY - WORKING TIME
PROMO_0034,ERAFONE,Makanan dan Minuman,Perempuan,Kristen,Makassar,20/01/24,13/10/24,Mature High Networth,Group 2,Group 5,WEEKDAY - TRAVELING TIME
PROMO_0035,INDOMARET,Gadget dan Elektronik,Laki-laki,Islam,Papua,16/03/24,28/07/24,Silver Ager,Group 5,Group 5,WEEKEND - WEEKEND
PROMO_0036,FORE,Kesehatan dan Kecantikan,Perempuan,Islam,Manado,06/03/24,25/08/24,All Segment,Group 1,Group 4,WEEKDAY - RESTING TIME
PROMO_0037,IKEA,E-Commerce,Perempuan,Islam,Balikpapan,06/02/24,31/05/24,Silver Ager,Group 4,Group 1,WEEKDAY - WORKING TIME
PROMO_0038,GUARDIAN,Kesehatan dan Kecantikan,Perempuan,Buddha,Yogyakarta,08/02/24,16/07/24,Mature High Networth,Group 2,Group 1,WEEKEND - WEEKEND
PROMO_0039,IKEA,Kesehatan dan Kecantikan,Laki-laki,Buddha,Yogyakarta,11/03/24,17/05/24,Silver Ager,Group 2,Group 5,WEEKDAY - WORKING TIME
PROMO_0040,SOLARIA,Makanan dan Minuman,Laki-laki,Buddha,Palembang,20/02/24,20/07/24,All Segment,Group 3,Group 3,WEEKDAY - RESTING TIME
PROMO_0041,FORE,E-Commerce,Laki-laki,Buddha,Semarang,26/01/24,19/10/24,All Segment,Group 3,Group 3,WEEKEND - WEEKEND
PROMO_0042,IKEA,E-Commerce,Laki-laki,Buddha,Denpasar,06/01/24,19/08/24,Emerging Wealth,Group 2,Group 4,WEEKDAY - TRAVELING TIME
PROMO_0043,DAYTRANS,Kesehatan dan Kecantikan,Perempuan,Konghucu,Denpasar,13/03/24,06/08/24,Wealthy Achievers,Group 2,Group 5,WEEKDAY - RESTING TIME
PROMO_0044,SOCIOLLA,Telco,Perempuan,Agama Lainnya,Semarang,25/02/24,11/05/24,Mature High Networth,Group 4,Group 3,WEEKEND - WEEKEND
PROMO_0045,INDOMARET,Gadget dan Elektronik,Perempuan,Konghucu,Padang,08/02/24,30/10/24,Wealthy Achievers,Group 2,Group 4,WEEKEND - WEEKEND
PROMO_0046,IBOX,Makanan dan Minuman,Laki-laki,Buddha,Papua,24/02/24,29/06/24,Wealthy Achievers,Group 3,Group 1,WEEKDAY - TRAVELING TIME
PROMO_0047,GUARDIAN,Travel dan Transportasi,Perempuan,Konghucu,Nasional,13/01/24,18/06/24,Working Professionals,Group 1,Group 2,WEEKDAY - TRAVELING TIME
PROMO_0048,SOCIOLLA,Makanan dan Minuman,Perempuan,Buddha,Padang,07/03/24,22/08/24,Mature High Networth,Group 1,Group 1,WEEKDAY - TRAVELING TIME
PROMO_0049,GUARDIAN,Travel dan Transportasi,Perempuan,Katolik,Balikpapan,06/02/24,09/08/24,Minimal,Group 2,Group 3,WEEKEND - WEEKEND
PROMO_0050,IBOX,Kesehatan dan Kecantikan,Laki-laki,Agama Lainnya,Manado,05/01/24,21/05/24,Wealthy Achievers,Group 2,Group 2,WEEKDAY - RESTING TIME
PROMO_0051,DAYTRANS,Travel dan Transportasi,Perempuan,Katolik,Makassar,28/03/24,25/05/24,Mature High Networth,Group 5,Group 4,WEEKEND - WEEKEND
PROMO_0052,SOLARIA,Gadget dan Elektronik,Laki-laki,Kristen,Malang,29/01/24,05/08/24,Minimal,Group 2,Group 4,WEEKDAY - RESTING TIME
PROMO_0053,IKEA,Others/Miscellaneous (Promo lainnya),Laki-laki,Katolik,Padang,26/02/24,12/09/24,Emerging Wealth,Group 4,Group 4,WEEKDAY - TRAVELING TIME
PROMO_0054,ALFAMART,Gaya Hidup,Laki-laki,Islam,Manado,16/03/24,16/08/24,Young Gen & Early Jobber,Group 5,Group 5,WEEKDAY - WORKING TIME
PROMO_0055,IKEA,Kesehatan dan Kecantikan,Laki-laki,Konghucu,Surabaya,29/03/24,11/07/24,Silver Ager,Group 4,Group 1,WEEKEND - WEEKEND
PROMO_0056,SOCIOLLA,Gaya Hidup,Perempuan,Hindu,Yogyakarta,14/02/24,12/07/24,All Segment,Group 2,Group 5,WEEKDAY - RESTING TIME
PROMO_0057,GUARDIAN,Gadget dan Elektronik,Laki-laki,Kristen,Yogyakarta,02/03/24,01/09/24,Wealthy Achievers,Group 4,Group 2,WEEKDAY - TRAVELING TIME
PROMO_0058,INDOMARET,Travel dan Transportasi,Laki-laki,Konghucu,Manado,14/02/24,09/05/24,Wealthy Achievers,Group 3,Group 4,WEEKDAY - TRAVELING TIME
PROMO_0059,TUKU,Kesehatan dan Kecantikan,Perempuan,Hindu,Padang,11/01/24,27/08/24,Working Professionals,Group 3,Group 1,WEEKDAY - RESTING TIME
PROMO_0060,IKEA,Gadget dan Elektronik,Perempuan,Buddha,Nasional,11/02/24,28/05/24,Working Professionals,Group 1,Group 4,WEEKDAY - RESTING TIME
PROMO_0061,ERAFONE,Makanan dan Minuman,Laki-laki,Buddha,Papua,10/02/24,23/07/24,Emerging Wealth,Group 5,Group 2,WEEKDAY - RESTING TIME
