ID,PROMO_ID,MCC_GROUP,MERCHANT_CATEGORY,RELIGION,GENDER,SEGMENTATION,TOTAL_ASSETS,ACCOUNT_AGE,TRANSACTION_TIME,START_DATE,END_DATE,UPDATE_BY,UPDATED_TIME,CREATED_BY,CREATED_TIME
Q-n1icBaHCUX5NXlkLO00,PROMO_00000,DECATHLON,Travel & Transportation,Catholic,F,Emerging Wealth,2,4,WEEKDAY - TRAVELING TIME,24/05/25,05/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
BtHw4asvBBm2fOaVyUm0y,PROMO_00001,INDOMARET,Food & Beverage,Others,M,Mature High Networth,1,1,WEEKDAY - WORKING TIME,23/01/25,27/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
xSoS4137NHOwF2JA35Q6P,PROMO_00002,ALFAMART,Lifestyle,Islam,F,Silver Ager,4,4,WEEKEND - WEEKEND,04/03/25,27/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
h-9Oc_jumOAF9IWuzkGQi,PROMO_00003,IBOX,Telco,Konghucu,M,Minimal,1,5,WEEKEND - WEEKEND,18/01/25,16/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
PmArVOFg6iHLFqOVIRg_m,PROMO_00004,ERAFONE,Health & Beauty,Islam,M,Emerging Wealth,1,5,WEEKDAY - RESTING TIME,13/03/25,22/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
MkLir6APga-ARsa0igLbf,PROMO_00005,ERAFONE,Gadget & Electronics,Hindu,F,Working Professionals,2,1,WEEKDAY - WORKING TIME,01/12/24,18/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
IGMfa2C6me82BR8gwflOP,PROMO_00006,SUPERINDO,Telco,Christian,F,Emerging Wealth,5,5,WEEKDAY - RESTING TIME,09/06/25,22/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
PiYk9Y_sqwlgB1NHYnIqX,PROMO_00007,INDOMARET,Food & Beverage,Christian,F,Wealthy Achievers,1,1,WEEKEND - WEEKEND,29/01/25,01/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
0y3wiW_BYGj-IBa25s30r,PROMO_00008,DECATHLON,Gadget & Electronics,Konghucu,F,All Segment,1,4,WEEKDAY - WORKING TIME,20/05/25,10/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
2RtTsxucVIHzTBkelwPI5,PROMO_00009,GERAI IM3,Food & Beverage,Others,M,All Segment,3,2,WEEKDAY - TRAVELING TIME,24/12/24,22/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
8yFS3q2ZZ1CBm1mBtokmw,PROMO_00010,INDOMARET,E-Commerce,Buddha,M,Mature High Networth,3,2,WEEKDAY - RESTING TIME,16/12/24,27/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
HsrAB8cy5k9CbLixVIr6U,PROMO_00011,IKEA,Health & Beauty,Christian,F,Minimal,5,1,WEEKEND - WEEKEND,18/01/25,08/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
vZdeQi6JR9HsSDkiIWG6z,PROMO_00012,DAYTRANS,Gadget & Electronics,Islam,F,Mature High Networth,5,3,WEEKDAY - WORKING TIME,19/02/25,08/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
Ida_UQQtnIVsC9YwwL2rj,PROMO_00013,ALFAMART,Lifestyle,Islam,F,Working Professionals,2,3,WEEKEND - WEEKEND,12/04/25,08/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
b96xxAF1-k2yxZ2KzsZXt,PROMO_00014,ALFAMART,E-Commerce,Christian,F,Mature High Networth,4,2,WEEKDAY - WORKING TIME,14/11/24,09/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
ZFWV_3_4uyBks8A9909Mb,PROMO_00015,INDOMARET,Gadget & Electronics,Hindu,M,Wealthy Achievers,3,3,WEEKEND - WEEKEND,13/04/25,29/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
viwHOexLHLycR7A0z2OWJ,PROMO_00016,ERAFONE,Gadget & Electronics,Christian,M,Emerging Wealth,2,3,WEEKEND - WEEKEND,05/02/25,25/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
8vG-UXIsNEzUfZz0ue9VX,PROMO_00017,ERAFONE,Telco,Hindu,F,Young Gen & Early Jobber,2,5,WEEKDAY - WORKING TIME,08/06/25,16/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
_p9QHtOSalImJaUdQTOzW,PROMO_00018,GERAI IM3,Health & Beauty,Catholic,F,Emerging Wealth,3,1,WEEKEND - WEEKEND,29/12/24,09/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
2xERsRAB4FWa7gtviy5ZK,PROMO_00019,IKEA,Food & Beverage,Hindu,M,Mature High Networth,1,5,WEEKDAY - RESTING TIME,04/04/25,25/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
RCT6LNsNEozXwo4-_EEtB,PROMO_00020,ALFAMART,E-Commerce,Christian,F,Silver Ager,5,4,WEEKEND - WEEKEND,12/03/25,09/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
HTaoRrVY_v3xAwEMuZE9O,PROMO_00021,GERAI IM3,Telco,Konghucu,F,Silver Ager,4,3,WEEKDAY - RESTING TIME,28/11/24,23/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
fqjlc9X-cSEx9b4XTcn4H,PROMO_00022,ERAFONE,Gadget & Electronics,Others,M,All Segment,1,4,WEEKDAY - WORKING TIME,10/04/25,13/12/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
ag8WnRt6YEpp6JfPp4eFy,PROMO_00023,DECATHLON,Food & Beverage,Christian,M,All Segment,3,1,WEEKDAY - WORKING TIME,15/03/25,26/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
qb12zY3SHIDzw3UaCYYs3,PROMO_00024,GERAI IM3,Gadget & Electronics,Christian,F,All Segment,4,5,WEEKEND - WEEKEND,02/11/24,25/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
FftLSez-zzQXgNcrwwEgc,PROMO_00025,DAYTRANS,Others/Miscellaneous,Konghucu,M,Mature High Networth,5,3,WEEKDAY - TRAVELING TIME,15/03/25,13/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
iJx-zmNZErjHq3db9e1c_,PROMO_00026,ERAFONE,Lifestyle,Christian,F,Minimal,2,5,WEEKDAY - TRAVELING TIME,24/01/25,11/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
6tfkD2lU-xVF0AXJSB7fl,PROMO_00027,GRAPARI,E-Commerce,Islam,M,Wealthy Achievers,2,4,WEEKDAY - TRAVELING TIME,29/01/25,28/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
onvoGyq2BAEFAf8AW-HkS,PROMO_00028,IKEA,Telco,Catholic,M,Silver Ager,3,4,WEEKEND - WEEKEND,09/01/25,03/09/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
E-jAjYa9QM4VUR7FALjCU,PROMO_00029,IBOX,Travel & Transportation,Islam,F,All Segment,3,1,WEEKDAY - WORKING TIME,15/12/24,21/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
hfrs6I4dyVzOXFqyovEQj,PROMO_00030,ALFAMART,Gadget & Electronics,Catholic,M,Wealthy Achievers,3,1,WEEKDAY - RESTING TIME,09/11/24,18/11/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
zf_fyPLdSs8vVlop56fzW,PROMO_00031,SUPERINDO,Travel & Transportation,Catholic,M,All Segment,4,4,WEEKDAY - RESTING TIME,18/05/25,24/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
xFB083dqBaNDDacBS5jOF,PROMO_00032,DAYTRANS,Lifestyle,Buddha,F,Wealthy Achievers,2,2,WEEKDAY - RESTING TIME,09/02/25,31/08/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
I1cHVwtJlJ30Ec9droCIv,PROMO_00033,BARAYA,Travel & Transportation,Catholic,M,Young Gen & Early Jobber,5,3,WEEKDAY - TRAVELING TIME,01/11/24,20/10/25,Camdun,2024-10-25 21:41:06 ,Camdun,2024-10-25 21:41:06 
